Case Number,Account Name,Person Type,message,Score,Review,Correct/Incorrect
TS001256579,Tesla Motors,Customer,"Closing incident as setup is ready in production
",,,
TS001596982,BOC Limited,Customer,"Hi IBM Team,

Please see attached/uploaded files for this request - Monash University have issued comments about our invoice file. In addition to additions and removals, we are required to map through specific Bill To data, which means the ORDER file map will also be impacted. The catalyst and requirement is form the INVOICE file so ill only place it here, please adjust the ORDER file map to pull through the required data.

             <Name xml:lang=""en"">Monash University</Name>
             <Street>Level 5</Street>
             <City>MULGRAVE</City>
             <PostalCode>3170</PostalCode>
",,,
TS002105266,"Momentive Performance Materials, Inc",Customer,"Hi Moe,

 Sorry for a late response!

Thanks for updating the URL. 

Kindly let me know there are multiple batches which are available in mailbox but not getting picked up.

I will give a brief history, we had an outage which lasted few days, these files had came during that duration and now we are not able to pick those batches. Kindly advise what action to be taken?

Thanks,
Subhasis?
",,,
TS002091240,Krono Services GmbH,Customer,"Hello,
can you please move the flow to production.
Cheers, Thomas
",,,
TS001473604,Micron Technology Inc,Customer,"Hi Madhu,

I have done the testing for ORDCHG.
EDI file is getting translated to IDOC but the carbon copy is getting generated twice due to which 2 different translation taking place
which are generating 2 email Human readable files.
 
See below Process IDs in CTE. Please check.
15385292: EDI file to IDOC
15385304: EDI file to email with Reference No: 0000000741334285
15385304: EDI file to email with Reference No: 9042287980
Also, please increase the length of field Mail_BlankLine1 from 19 to 24 in MCRN_JABIL_I_ORDCHG-HR_D97A map.

Thanks,
Natasha?
",,,
TS002062680,"New Era Cap Co., Inc.",Customer,"Hello Lori,
From my perspective I struggle to understand that a new PER is requested to just change an email title.
In all cases, it is not worth going to that direction so we will push the existing change in production when IBM is able to do so.
Thanks for your help, 
",,,
TS002028169,Lindt & Sprüngli,Customer,"Hi Narendra,

We are still in the processing of testing the EDI 850 files, will update back once we are successfully done with testing.

Regards,
Preethi Natrajan
",,,
TS002068322,GameStop Inc.,Customer,"Thanks Tulu for all the help. Please go ahead and close the ticket.

Thanks,
Sujay
",,,
TS001823835,CEVA LOGISTICS,Customer,"thanks for the update. will test and validate.
will let you know if there are any further issues.
",,,
TS002002196,Lindt & Sprüngli (France),Customer,"See new PER with more specification rules in chapter Detailed description of request TS002002196_-_Lindt_FR_-_PER_INVRPT_EWR_Updated_Flow_V2.docx. PER validate in our side.

Please inform us as soon as possible about the time delivery.

Regards.

LM.
",,,
TS001473618,Micron Technology Inc,Customer,"Hi Madhu,

Please complete the required ORDCHG setup in production for Jabil Shanghai. Please move this map to production.

Thanks,
Natasha?
",,,
TS002015052,Lindt & Sprüngli International AG,Customer,"Hello,

I work with Laurent MALIE and I don't see any of his tickets.
For example, TS002002196.
Can you help me to have the same view of cases as him.

Thanks in advance for your help.

Regards,

Emilie PROHARAM
",,,
TS002114402,TOYOTA MATERIAL HANDLING,Customer,"Hi IBM team,

Please resend files to TP Birn.

Regards,
Lisbeth?
",,,
TS002101746,CEVA LOGISTICS,Customer,"Had informed earlier that I cannot get the cert file that your side had provided.
Can you send zip file with cert ??
",,,
